country,state,spatial_unit,district_clean,district_lat,district_lon,crs,zone_indicator,num_sezs,distance_to_chennai_km,coastal_district,population_density_per_sq_km,population_density_year,population_density_source,distance_method,pc11_state_id,pc11_district_id,pc11_district_name,district_crosswalk_note,nightlights_year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells
India,Tamil Nadu,District,Ariyalur,11.1401,79.0786,WGS84 / EPSG:4326,0,0,251.9,0,390,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,616,Ariyalur,Direct 2011 district match,2021,average-masked,1.126005399209281,10424.321323818896,9257.789821557875
India,Tamil Nadu,District,Chengalpattu,12.6929,79.9757,WGS84 / EPSG:4326,1,12,53.9,1,892,2011,Approximate/harmonized from former Kancheepuram district area,Haversine distance between approximate district centroid and Chennai,33,604,Kancheepuram,Newer district; mapped to parent 2011 district Kancheepuram,2021,average-masked,3.1311785324844283,64529.98011637098,20608.847258916845
India,Tamil Nadu,District,Chennai,13.0827,80.2707,WGS84 / EPSG:4326,1,5,0,1,26553,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,603,Chennai,Direct 2011 district match,2021,average-masked,28.569436832545687,24372.909137771025,853.1112909445219
India,Tamil Nadu,District,Coimbatore,11.0168,76.9558,WGS84 / EPSG:4326,1,4,427.4,0,748,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,632,Coimbatore,Direct 2011 district match,2021,average-masked,1.9306994271667757,43295.72556376865,22424.89170222804
India,Tamil Nadu,District,Cuddalore,11.7447,79.768,WGS84 / EPSG:4326,0,0,158.5,1,704,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,617,Cuddalore,Direct 2011 district match,2021,average-masked,1.497152555495761,26077.30921284516,17417.937214962054
India,Tamil Nadu,District,Dharmapuri,12.127,78.1582,WGS84 / EPSG:4326,0,0,252.7,0,335,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,630,Dharmapuri,Direct 2011 district match,2021,average-masked,0.6463181506907818,13730.716053966586,21244.51562947948
India,Tamil Nadu,District,Dindigul,10.3673,77.9803,WGS84 / EPSG:4326,0,0,391.6,0,357,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,612,Dindigul,Direct 2011 district match,2021,average-masked,0.6862153956885195,20166.26556493967,29387.66120906642
India,Tamil Nadu,District,Erode,11.341,77.7172,WGS84 / EPSG:4326,1,2,338.4,0,394,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,610,Erode,Direct 2011 district match,2021,average-masked,0.8191196993772876,22570.250853887428,27554.276708331905
India,Tamil Nadu,District,Kallakurichi,11.7406,78.959,WGS84 / EPSG:4326,0,0,206.3,0,430,2011,Approximate/harmonized from former Villupuram district area,Haversine distance between approximate district centroid and Chennai,33,607,Viluppuram,Newer district; mapped to parent 2011 district Viluppuram,2021,average-masked,0.9032830680647655,31042.253783346223,34366.030849944465
India,Tamil Nadu,District,Kancheepuram,12.8342,79.7036,WGS84 / EPSG:4326,1,8,67.4,0,927,2011,Census 2011 / former district-level population density,Haversine distance between approximate district centroid and Chennai,33,604,Kancheepuram,Direct/parent 2011 district match,2021,average-masked,3.1311785324844283,64529.98011637098,20608.847258916845
India,Tamil Nadu,District,Kanniyakumari,8.0883,77.5385,WGS84 / EPSG:4326,0,0,630.5,1,1119,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,629,Kanniyakumari,Direct 2011 district match,2021,average-masked,1.418466875469429,11429.93864881915,8057.952460142233
India,Tamil Nadu,District,Karur,10.9601,78.0766,WGS84 / EPSG:4326,0,0,335.6,0,371,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,613,Karur,Direct 2011 district match,2021,average-masked,0.9707443981293072,13291.929539763163,13692.51222605832
India,Tamil Nadu,District,Krishnagiri,12.5186,78.2137,WGS84 / EPSG:4326,1,3,231.7,0,370,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,631,Krishnagiri,Direct 2011 district match,2021,average-masked,1.0724262551417736,26414.97906736713,24631.044736847754
India,Tamil Nadu,District,Madurai,9.9252,78.1198,WGS84 / EPSG:4326,1,2,422.1,0,819,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,623,Madurai,Direct 2011 district match,2021,average-masked,1.3029749914884707,23016.90228933121,17664.88416100569
India,Tamil Nadu,District,Mayiladuthurai,11.1018,79.652,WGS84 / EPSG:4326,0,0,230.3,1,720,2011,Approximate/harmonized from former Nagapattinam district area,Haversine distance between approximate district centroid and Chennai,33,618,Nagapattinam,Newer district; mapped to parent 2011 district Nagapattinam,2021,average-masked,1.217203118857043,14772.08678134157,12136.090150025742
India,Tamil Nadu,District,Nagapattinam,10.7672,79.8449,WGS84 / EPSG:4326,0,0,261.6,1,668,2011,Census 2011 / former district-level population density,Haversine distance between approximate district centroid and Chennai,33,618,Nagapattinam,Direct/parent 2011 district match,2021,average-masked,1.217203118857043,14772.08678134157,12136.090150025742
India,Tamil Nadu,District,Namakkal,11.2194,78.1678,WGS84 / EPSG:4326,0,0,308.5,0,506,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,609,Namakkal,Direct 2011 district match,2021,average-masked,1.2199222582984903,20092.960269571995,16470.68912210605
India,Tamil Nadu,District,Nilgiris,11.4102,76.695,WGS84 / EPSG:4326,0,0,430.7,0,287,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,611,The Nilgiris,Direct 2011 district match,2021,average-masked,0.3493885581508034,4280.980912496556,12252.77935589635
India,Tamil Nadu,District,Perambalur,11.2333,78.8833,WGS84 / EPSG:4326,0,0,255,0,321,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,615,Perambalur,Direct 2011 district match,2021,average-masked,0.8876281632229305,7324.079398810029,8251.292266591325
India,Tamil Nadu,District,Pudukkottai,10.3833,78.8001,WGS84 / EPSG:4326,0,0,340.2,0,348,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,621,Pudukkottai,Direct 2011 district match,2021,average-masked,0.7425690917649711,16878.29565742621,22729.59626869081
India,Tamil Nadu,District,Ramanathapuram,9.3639,78.8395,WGS84 / EPSG:4326,0,0,442,1,320,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,626,Ramanathapuram,Direct 2011 district match,2021,average-masked,0.5159079035452863,10047.636780520834,19475.6403448641
India,Tamil Nadu,District,Ranipet,12.9249,79.3333,WGS84 / EPSG:4326,1,1,103.1,0,520,2011,Approximate/harmonized from former Vellore district area,Haversine distance between approximate district centroid and Chennai,33,605,Vellore,Newer district; mapped to parent 2011 district Vellore,2021,average-masked,1.199306162153267,35383.30683755383,29503.14769835392
India,Tamil Nadu,District,Salem,11.6643,78.146,WGS84 / EPSG:4326,1,1,279.5,0,663,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,608,Salem,Direct 2011 district match,2021,average-masked,1.5177007809293122,38137.27460912829,25128.322452187334
India,Tamil Nadu,District,Sivaganga,9.847,78.4836,WGS84 / EPSG:4326,0,0,409.1,0,324,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,622,Sivaganga,Direct 2011 district match,2021,average-masked,0.5605288648384701,11209.728191197282,19998.485170656888
India,Tamil Nadu,District,Tenkasi,8.959,77.3152,WGS84 / EPSG:4326,0,0,560.6,0,410,2011,Approximate/harmonized from former Tirunelveli district area,Haversine distance between approximate district centroid and Chennai,33,628,Tirunelveli,Newer district; mapped to parent 2011 district Tirunelveli,2021,average-masked,0.9109271700699868,28767.45397211757,31580.410506261836
