pc11_state_id,pc11_district_id,year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,pc11_district_name,zone_indicator,num_sezs,mean_distance_to_chennai_km,coastal_district,mean_population_density_per_sq_km,current_districts_mapped,district_type,log_viirs_mean
33,602,2013,average-masked,3.020291031167277,51684.21661995949,17112.329933312634,Thiruvallur,1,4,39.8,1,1098,Tiruvallur,SEZ district,1.3913542958232348
33,603,2013,average-masked,22.954947973314063,19583.125299078296,853.1112909445219,Chennai,1,5,0,1,26553,Chennai,SEZ district,3.176174898481926
33,604,2013,average-masked,2.1782787248711246,44891.81352821716,20608.847258916845,Kancheepuram,1,20,60.650000000000006,1,909.5,Kancheepuram; Chengalpattu,SEZ district,1.1563397687593095
33,605,2013,average-masked,0.8074923283912923,23823.565429816,29503.14769835392,Vellore,1,1,141.43333333333334,0,529.3333333333334,Vellore; Ranipet; Tirupathur,SEZ district,0.5919404307216053
33,606,2013,average-masked,0.510915536955266,15125.74547155105,29605.178111613008,Tiruvannamalai,1,1,161,0,399,Tiruvannamalai,SEZ district,0.41271578295604777
33,607,2013,average-masked,0.6813478938421781,23415.222739324978,34366.030849944465,Viluppuram,0,0,179.65,1,456,Viluppuram; Kallakurichi,Non-SEZ district,0.519595789493523
33,608,2013,average-masked,1.093689067217568,27482.57154347504,25128.322452187334,Salem,1,1,279.5,0,663,Salem,SEZ district,0.7389276139433165
33,609,2013,average-masked,0.7819653762128056,12879.508615851822,16470.68912210605,Namakkal,0,0,308.5,0,506,Namakkal,Non-SEZ district,0.5777168991251809
33,610,2013,average-masked,0.4795054656063549,13212.42628247503,27554.276708331905,Erode,1,2,338.4,0,394,Erode,SEZ district,0.3917078870766196
33,611,2013,average-masked,0.3294105570634143,4036.19487320092,12252.77935589635,The Nilgiris,0,0,430.7,0,287,Nilgiris,Non-SEZ district,0.2847356538179851
33,612,2013,average-masked,0.3805051245493758,11182.155688570678,29387.66120906642,Dindigul,0,0,391.6,0,357,Dindigul,Non-SEZ district,0.3224494644777964
33,613,2013,average-masked,0.5167843019707345,7076.075372969297,13692.51222605832,Karur,0,0,335.6,0,371,Karur,Non-SEZ district,0.4165925030259391
33,614,2013,average-masked,0.8676050905928717,18111.794109152077,20875.61991686276,Tiruchirappalli,1,1,306.6,0,602,Tiruchirappalli,SEZ district,0.624656909851384
33,615,2013,average-masked,0.4436121344068698,3660.373373997477,8251.292266591325,Perambalur,0,0,255,0,321,Perambalur,Non-SEZ district,0.3671483994084632
33,616,2013,average-masked,0.605664777714698,5607.117214403243,9257.789821557875,Ariyalur,0,0,251.9,0,390,Ariyalur,Non-SEZ district,0.4735378625508191
33,617,2013,average-masked,1.3455647224311276,23436.961853973226,17417.937214962054,Cuddalore,0,0,158.5,1,704,Cuddalore,Non-SEZ district,0.8525261927058636
33,618,2013,average-masked,0.658039672302133,7986.028785352084,12136.090150025742,Nagapattinam,0,0,245.95000000000002,1,694,Nagapattinam; Mayiladuthurai,Non-SEZ district,0.5056359842327082
33,619,2013,average-masked,0.4911631516390974,5276.430348051145,10742.7243481983,Thiruvarur,0,0,266.7,1,533,Tiruvarur,Non-SEZ district,0.3995564541014284
33,620,2013,average-masked,0.7449061583717389,12170.051845397988,16337.697988697026,Thanjavur,0,0,283.5,0,691,Thanjavur,Non-SEZ district,0.5567007767709333
33,621,2013,average-masked,0.3382837447504816,7689.052942439302,22729.59626869081,Pudukkottai,0,0,340.2,0,348,Pudukkottai,Non-SEZ district,0.2913880055538547
33,622,2013,average-masked,0.2647226569876826,5294.05213010506,19998.485170656888,Sivaganga,0,0,409.1,0,324,Sivaganga,Non-SEZ district,0.23485285465411868
33,623,2013,average-masked,0.7658061361288018,13527.876684502638,17664.88416100569,Madurai,1,2,422.1,0,819,Madurai,SEZ district,0.5686073204644708
33,624,2013,average-masked,0.2670822348590328,3485.3079822095374,13049.568736943878,Theni,0,0,457.5,0,433,Theni,Non-SEZ district,0.23671680440957363
33,625,2013,average-masked,0.4717549010208154,9673.361127832566,20505.05698382929,Virudhunagar,0,0,464.8,0,454,Virudhunagar,Non-SEZ district,0.3864554989840934
33,626,2013,average-masked,0.2135182961436245,4158.405542741414,19475.6403448641,Ramanathapuram,0,0,442,1,320,Ramanathapuram,Non-SEZ district,0.19352382323907102
33,627,2013,average-masked,0.5485320387578461,12220.858562829106,22279.20649904664,Thoothukkudi,1,1,533.8,1,378,Thoothukudi,SEZ district,0.43730741040619736
33,628,2013,average-masked,0.6099860206004697,19263.60893364392,31580.410506261836,Tirunelveli,1,3,559.25,0,435,Tirunelveli; Tenkasi,SEZ district,0.4762254961018243
33,629,2013,average-masked,0.9046835277531968,7289.896858109026,8057.952460142233,Kanniyakumari,0,0,630.5,1,1119,Kanniyakumari,Non-SEZ district,0.6443158676143423
33,630,2013,average-masked,0.2584527437660799,5490.70335442034,21244.51562947948,Dharmapuri,0,0,252.7,0,335,Dharmapuri,Non-SEZ district,0.22988298523870843
33,631,2013,average-masked,0.3923956522391207,9665.114864846337,24631.044736847754,Krishnagiri,1,3,231.7,0,370,Krishnagiri,SEZ district,0.33102575445610394
33,632,2013,average-masked,1.0788599788845257,24193.318188353507,22424.89170222804,Coimbatore,1,4,427.4,0,748,Coimbatore,SEZ district,0.7318196563838544
33,633,2013,average-masked,0.6874729006654771,16912.46312526241,24600.916063587472,Tiruppur,0,0,386.8,0,478,Tiruppur,Non-SEZ district,0.5232320847707004
33,602,2018,average-masked,3.999226264582029,68436.07931749713,17112.329933312634,Thiruvallur,1,4,39.8,1,1098,Tiruvallur,SEZ district,1.6092831533759409
33,603,2018,average-masked,27.313150312042502,23301.15692246835,853.1112909445219,Chennai,1,5,0,1,26553,Chennai,SEZ district,3.3433263720582316
33,604,2018,average-masked,2.864556812706587,59035.213817559714,20608.847258916845,Kancheepuram,1,20,60.650000000000006,1,909.5,Kancheepuram; Chengalpattu,SEZ district,1.3518470086358156
33,605,2018,average-masked,1.0724484239434335,31640.60425047,29503.14769835392,Vellore,1,1,141.43333333333334,0,529.3333333333334,Vellore; Ranipet; Tirupathur,SEZ district,0.7287307218037493
33,606,2018,average-masked,0.5591059021940127,16552.429817707827,29605.178111613008,Tiruvannamalai,1,1,161,0,399,Tiruvannamalai,SEZ district,0.4441125173349278
33,607,2018,average-masked,0.7562848349928902,25990.507970710823,34366.030849944465,Viluppuram,0,0,179.65,1,456,Viluppuram; Kallakurichi,Non-SEZ district,0.5632006887746069
33,608,2018,average-masked,1.3510451213575423,33949.497456926896,25128.322452187334,Salem,1,1,279.5,0,663,Salem,SEZ district,0.8548599617844548
33,609,2018,average-masked,0.9801879004396444,16144.37018939122,16470.68912210605,Namakkal,0,0,308.5,0,506,Namakkal,Non-SEZ district,0.6831917394157402
33,610,2018,average-masked,0.6775821075877235,18670.28488508685,27554.276708331905,Erode,1,2,338.4,0,394,Erode,SEZ district,0.5173535350668912
33,611,2018,average-masked,0.3167763410333793,3881.390611850172,12252.77935589635,The Nilgiris,0,0,430.7,0,287,Nilgiris,Non-SEZ district,0.2751865837632961
33,612,2018,average-masked,0.4917579789853328,14451.616883276163,29387.66120906642,Dindigul,0,0,391.6,0,357,Dindigul,Non-SEZ district,0.39995527614738396
33,613,2018,average-masked,0.6703084013016924,9178.20598005303,13692.51222605832,Karur,0,0,335.6,0,371,Karur,Non-SEZ district,0.5130082808171319
33,614,2018,average-masked,1.0367989181589798,21643.820145701364,20875.61991686276,Tiruchirappalli,1,1,306.6,0,602,Tiruchirappalli,SEZ district,0.711379417673466
33,615,2018,average-masked,0.5519945227166252,4554.668136492459,8251.292266591325,Perambalur,0,0,255,0,321,Perambalur,Non-SEZ district,0.4395408925773672
33,616,2018,average-masked,0.7202789196951541,6668.1908514365,9257.789821557875,Ariyalur,0,0,251.9,0,390,Ariyalur,Non-SEZ district,0.5424864402918881
33,617,2018,average-masked,1.379858913442847,24034.295919853263,17417.937214962054,Cuddalore,0,0,158.5,1,704,Cuddalore,Non-SEZ district,0.86704120586022
33,618,2018,average-masked,0.8972819926593983,10889.495152909194,12136.090150025742,Nagapattinam,0,0,245.95000000000002,1,694,Nagapattinam; Mayiladuthurai,Non-SEZ district,0.6404223318079655
33,619,2018,average-masked,0.5929216054034134,6369.593366940073,10742.7243481983,Thiruvarur,0,0,266.7,1,533,Tiruvarur,Non-SEZ district,0.4655698177919263
33,620,2018,average-masked,0.883391279271333,14432.579926583749,16337.697988697026,Thanjavur,0,0,283.5,0,691,Thanjavur,Non-SEZ district,0.6330740237716123
33,621,2018,average-masked,0.4791493614157517,10890.871537381054,22729.59626869081,Pudukkottai,0,0,340.2,0,348,Pudukkottai,Non-SEZ district,0.39146716674042464
33,622,2018,average-masked,0.3498233753611078,6995.937584508252,19998.485170656888,Sivaganga,0,0,409.1,0,324,Sivaganga,Non-SEZ district,0.29997375082509986
33,623,2018,average-masked,0.96661362115221,17075.11764610403,17664.88416100569,Madurai,1,2,422.1,0,819,Madurai,SEZ district,0.6763130895843187
33,624,2018,average-masked,0.3726859709963669,4863.391195811763,13049.568736943878,Theni,0,0,457.5,0,433,Theni,Non-SEZ district,0.3167693832162346
33,625,2018,average-masked,0.6420242152916791,13164.743119554165,20505.05698382929,Virudhunagar,0,0,464.8,0,454,Virudhunagar,Non-SEZ district,0.4959297583585703
33,626,2018,average-masked,0.3399448187616698,6620.643027302291,19475.6403448641,Ramanathapuram,0,0,442,1,320,Ramanathapuram,Non-SEZ district,0.2926284330862947
33,627,2018,average-masked,0.7977988331815462,17774.32494915013,22279.20649904664,Thoothukkudi,1,1,533.8,1,378,Thoothukudi,SEZ district,0.5865630461312232
