zone_id,country,state,district_official,district_clean,developer_or_zone_name,location_text,sector,status,latitude,longitude,crs,geocode_precision,coordinate_source,boundary_available,coordinate_interpretation,source_id,data_scope,notes,geocode_reliability,sector_broad,include_in_spatial_analysis,notification_date_raw,notification_date,notification_year,notification_date_source,notification_date_note
TN_SEZ_001,India,Tamil Nadu,Chennai,Chennai,MEPZ Special Economic Zone,"Chennai, Tamil Nadu",Multi product,Operational,12.9249,80.1275,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Central government SEZ / MEPZ,unknown,Multi-sector/product,1,NA,NA,NA,SEZ India notified SEZ list,Notification date not matched in current screenshot/source extract
TN_SEZ_002,India,Tamil Nadu,Kancheepuram,Chengalpattu,Mahindra World City Developers Limited,"Taluk Chengalpattu, Kancheepuram District, Tamil Nadu",Multi Sector SEZ,Operational,12.7333,80.0047,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Official list uses Kancheepuram; current district may be Chengalpattu,unknown,Multi-sector/product,1,NA,NA,NA,SEZ India notified SEZ list,Notification date not matched in current screenshot/source extract
TN_SEZ_003,India,Tamil Nadu,Kancheepuram,Kancheepuram,Nokia India Pvt. Ltd.,"Sriperumbudur, Tamil Nadu","Manufacture and assembling of electronics, telecommunications IT hardware, software development, R&D, and other services",Operational,12.9675,79.9419,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,NA,NA,NA,SEZ India notified SEZ list,Notification date not matched in current screenshot/source extract
TN_SEZ_004,India,Tamil Nadu,Kancheepuram,Kancheepuram,Flextronics Technologies (India) Private Limited,"Sriperumbudur, Kancheepuram, Tamil Nadu",IT/ITES electronic components and hardware manufacturing and related services,Operational,12.9675,79.9419,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,25th April 2006 / 1st August 2014,2006-04-25,2006,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_005,India,Tamil Nadu,Chennai,Chengalpattu,Tata Consultancy Services Limited,"Siruseri and Egattur, Chennai, Tamil Nadu",IT,Operational,12.833,80.218,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Location is in Siruseri/Egattur IT corridor; current district may be Chengalpattu,unknown,IT/ITES,1,17th July 2006,2006-07-17,2006,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_006,India,Tamil Nadu,Kancheepuram,Kancheepuram,Syntel International Private Limited,"Kancheepuram, Tamil Nadu",IT/ITES,Operational,12.8342,79.7036,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,11th August 2006,2006-08-11,2006,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_007,India,Tamil Nadu,Kancheepuram,Chengalpattu,IG3 Infra Limited (ETL Infrastructure Services Limited),"Pallikkarani Village, Tambaram Taluk, Kancheepuram, Tamil Nadu",IT/ITES,Operational,12.9516,80.221,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Current district may differ from official older district,unknown,IT/ITES,1,11th August 2006,2006-08-11,2006,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_008,India,Tamil Nadu,Chennai,Chengalpattu,Hexaware Technologies Limited,"SIPCOT IT Park, Old Mahabalipuram Road, Siruseri, Chennai, Tamil Nadu",IT/ITES,Operational,12.833,80.218,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,31st August 2006,2006-08-31,2006,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_009,India,Tamil Nadu,Chennai,Chennai,Gateway Office Parks Private Limited,"No. 16, G.S.T. Road, Perungalathur village, Chennai, Tamil Nadu",IT/ITES,Operational,12.9087,80.0934,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly Shriram Properties and Infrastructure Private Limited,unknown,IT/ITES,1,28th September 2006 / 24th September 2007 / 9th November 2009 / 10th August 2017 / 28th January 2021,2006-09-28,2006,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_010,India,Tamil Nadu,Coimbatore,Coimbatore,KGISL Infrastructure Pvt. Ltd.,"Kecranatham Village, Coimbatore North Taluk, Coimbatore, Tamil Nadu",IT/ITES,Operational,11.08,77.04,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly Coimbatore Hitech Infrastructure Pvt. Ltd.,unknown,IT/ITES,1,9th November 2006 / 17th September 2007 / 28th April 2009,2006-11-09,2006,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
