district_clean,first_sez_year,min_panel_year,max_panel_year,has_pre_viirs,has_post_viirs,total_new_sezs_in_panel,max_cumulative_sezs
Ariyalur,NA,2012,2023,TRUE,FALSE,0,0
Chengalpattu,2006,2012,2023,FALSE,TRUE,2,2
Chennai,2006,2012,2023,FALSE,TRUE,1,1
Coimbatore,2006,2012,2023,FALSE,TRUE,0,0
Cuddalore,NA,2012,2023,TRUE,FALSE,0,0
Dharmapuri,NA,2012,2023,TRUE,FALSE,0,0
Dindigul,NA,2012,2023,TRUE,FALSE,0,0
Erode,2008,2012,2023,FALSE,TRUE,0,0
Kallakurichi,NA,2012,2023,TRUE,FALSE,0,0
Kancheepuram,2006,2012,2023,FALSE,TRUE,0,0
Kanniyakumari,NA,2012,2023,TRUE,FALSE,0,0
Karur,NA,2012,2023,TRUE,FALSE,0,0
Krishnagiri,2009,2012,2023,FALSE,TRUE,2,2
Madurai,2008,2012,2023,FALSE,TRUE,0,0
Mayiladuthurai,NA,2012,2023,TRUE,FALSE,0,0
Nagapattinam,NA,2012,2023,TRUE,FALSE,0,0
Namakkal,NA,2012,2023,TRUE,FALSE,0,0
Nilgiris,NA,2012,2023,TRUE,FALSE,0,0
Perambalur,NA,2012,2023,TRUE,FALSE,0,0
Pudukkottai,NA,2012,2023,TRUE,FALSE,0,0
Ramanathapuram,NA,2012,2023,TRUE,FALSE,0,0
Ranipet,2007,2012,2023,FALSE,TRUE,0,0
Salem,2008,2012,2023,FALSE,TRUE,0,0
Sivaganga,NA,2012,2023,TRUE,FALSE,0,0
Tenkasi,NA,2012,2023,TRUE,FALSE,0,0
Thanjavur,NA,2012,2023,TRUE,FALSE,0,0
The Nilgiris,NA,2012,2023,TRUE,FALSE,0,0
Theni,NA,2012,2023,TRUE,FALSE,0,0
Thoothukudi,2009,2012,2023,FALSE,TRUE,0,0
Tiruchirappalli,2008,2012,2023,FALSE,TRUE,0,0
Tirunelveli,2008,2012,2023,FALSE,TRUE,0,0
Tirupathur,NA,2012,2023,TRUE,FALSE,0,0
Tiruppur,NA,2012,2023,TRUE,FALSE,0,0
Tiruvallur,2009,2012,2023,FALSE,TRUE,2,2
Tiruvannamalai,2007,2012,2023,FALSE,TRUE,0,0
Tiruvarur,NA,2012,2023,TRUE,FALSE,0,0
Vellore,NA,2012,2023,TRUE,FALSE,0,0
Viluppuram,NA,2012,2023,TRUE,FALSE,0,0
Virudhunagar,NA,2012,2023,TRUE,FALSE,0,0
